Datum,Uhrzeit,Unternehmen,Kurs_EUR
2025-07-25,14:30:00,Allianz_SE,341.5
2025-07-25,15:00:00,Allianz_SE,341.0
2025-07-25,15:30:00,Allianz_SE,341.79998779296875
2025-07-25,16:00:00,Allianz_SE,342.1000061035156
2025-07-25,16:30:00,Allianz_SE,342.79998779296875
2025-07-25,17:00:00,Allianz_SE,342.5
2025-07-31,09:00:00,Allianz_SE,347.20001220703125
2025-07-31,09:30:00,Allianz_SE,347.70001220703125
2025-07-31,10:00:00,Allianz_SE,348.20001220703125
2025-07-31,10:30:00,Allianz_SE,347.6000061035156
2025-07-31,11:00:00,Allianz_SE,346.70001220703125
2025-07-31,11:30:00,Allianz_SE,347.29998779296875
2025-07-31,12:00:00,Allianz_SE,346.5
2025-07-31,12:30:00,Allianz_SE,346.6000061035156
2025-07-31,13:00:00,Allianz_SE,346.8999938964844
2025-07-31,13:30:00,Allianz_SE,346.6000061035156
2025-07-31,14:00:00,Allianz_SE,347.0
2025-07-31,14:30:00,Allianz_SE,346.8999938964844
2025-07-31,15:00:00,Allianz_SE,346.79998779296875
2025-07-31,15:30:00,Allianz_SE,347.1000061035156
2025-07-31,16:00:00,Allianz_SE,346.20001220703125
2025-07-31,16:30:00,Allianz_SE,346.6000061035156
2025-07-31,17:00:00,Allianz_SE,347.3999938964844
2025-08-01,09:00:00,Allianz_SE,339.20001220703125
2025-08-01,09:30:00,Allianz_SE,339.70001220703125
2025-08-01,10:00:00,Allianz_SE,340.5
2025-08-01,10:30:00,Allianz_SE,339.8999938964844
2025-08-01,11:00:00,Allianz_SE,339.79998779296875
2025-08-01,11:30:00,Allianz_SE,339.8999938964844
2025-08-01,12:00:00,Allianz_SE,340.5
2025-08-01,12:30:00,Allianz_SE,339.6000061035156
2025-08-01,13:00:00,Allianz_SE,340.0
2025-08-01,13:30:00,Allianz_SE,340.20001220703125
2025-08-01,14:00:00,Allianz_SE,339.1000061035156
2025-08-01,14:30:00,Allianz_SE,338.70001220703125
2025-08-01,15:00:00,Allianz_SE,337.5
2025-08-01,15:30:00,Allianz_SE,336.20001220703125
2025-08-01,16:00:00,Allianz_SE,336.45001220703125
2025-08-01,16:30:00,Allianz_SE,336.5
2025-08-01,17:00:00,Allianz_SE,335.79998779296875
2025-08-05,09:00:00,Allianz_SE,346.20001220703125
2025-08-05,09:30:00,Allianz_SE,345.6000061035156
2025-08-05,10:00:00,Allianz_SE,345.3999938964844
2025-08-05,10:30:00,Allianz_SE,345.8999938964844
2025-08-05,11:00:00,Allianz_SE,345.6000061035156
2025-08-05,11:30:00,Allianz_SE,346.29998779296875
2025-08-05,12:00:00,Allianz_SE,346.6000061035156
2025-08-05,12:30:00,Allianz_SE,347.0
2025-08-05,13:00:00,Allianz_SE,347.79998779296875
2025-08-05,13:30:00,Allianz_SE,347.79998779296875
2025-08-05,14:00:00,Allianz_SE,347.79998779296875
2025-08-05,14:30:00,Allianz_SE,347.6000061035156
2025-08-05,15:00:00,Allianz_SE,348.0
2025-08-05,15:30:00,Allianz_SE,347.70001220703125
2025-08-05,16:00:00,Allianz_SE,346.8999938964844
2025-08-05,16:30:00,Allianz_SE,347.20001220703125
2025-08-05,17:00:00,Allianz_SE,347.70001220703125
